Plx,Gmag,BP-RP
7.4822,17.1045,2.9715
7.4823,14.0959,2.0350
7.4824,17.5619,3.1744
7.4827,16.0267,2.8307
7.4827,16.9071,3.0392
7.4831,16.8218,2.4531
7.4831,16.3661,2.9119
7.4833,14.1060,1.9954
7.4835,16.3257,2.8795
7.4853,11.3135,1.0847
7.4855,15.8230,2.7155
7.4859,14.7270,2.3218
7.4870,9.9216,0.7607
7.4872,17.6775,3.3706
7.4877,7.6915,0.2417
7.4877,16.3759,2.9546
7.4900,11.9077,1.1980
7.4903,17.8537,3.3605
7.4909,17.0327,2.9915
7.4910,14.3129,2.1211
7.4912,11.1596,1.0139
7.4923,14.8697,2.4449
7.4929,17.7305,3.1048
7.4943,16.3734,2.9140
7.4944,16.5263,2.8740
7.4953,17.5854,3.0883
7.4962,6.1453,-0.0442
7.4973,16.4453,2.9756
7.4983,13.1702,1.7506
7.4987,10.5823,0.9184
7.4988,16.1317,2.8142
7.4991,13.1964,1.6532
7.5006,16.8627,3.1186
7.5007,17.0778,3.2006
7.5015,16.6385,2.9144
7.5016,17.4365,3.0797
7.5018,16.4116,3.1213
7.5030,9.9817,0.8348
7.5032,17.7495,3.3117
7.5043,16.6271,2.9013
7.5045,15.6806,2.7276
7.5052,17.0597,3.0038
7.5070,16.5183,2.9653
7.5080,14.5088,2.2244
7.5086,16.5883,2.9320
7.5089,17.0874,3.0078
7.5115,15.4559,2.9465
7.5137,14.8424,2.5469
7.5148,16.5067,2.9755
7.5154,9.0621,0.6061
7.5164,11.4394,1.1150
7.5179,16.5297,2.9615
7.5198,13.0286,1.6062
7.5218,17.1558,3.1390
7.5232,16.5564,3.0033
7.5234,5.4267,-0.0374
7.5234,16.3454,2.9165
7.5237,16.9635,3.0719
7.5250,16.4359,3.0250
7.5265,15.8874,2.7972
7.5274,16.7977,2.5298
7.5280,11.4046,1.0632
7.5283,11.1648,1.0228
7.5285,17.6592,3.1805
7.5287,17.6275,3.2733
7.5293,15.4330,2.6292
7.5295,15.2116,2.5198
7.5310,16.0049,2.8954
7.5314,12.5274,1.7062
7.5328,16.8977,3.0387
7.5331,15.7438,2.6715
7.5334,17.1777,3.1523
7.5334,17.4573,2.7540
7.5361,17.4620,3.3761
7.5389,13.3871,1.7276
7.5395,16.9424,3.0567
7.5411,15.5001,2.6890
7.5419,17.8034,3.5184
7.5424,17.5747,3.0384
7.5425,13.8771,1.8991
7.5426,15.7940,2.7423
7.5431,17.3596,3.0925
7.5434,15.7080,2.7147
7.5435,17.4839,3.5097
7.5456,15.6346,2.6395
7.5460,16.7608,2.9960
7.5475,13.7830,1.9113
7.5486,16.3211,2.9384
7.5539,17.9363,3.2312
7.5541,17.6592,3.1099
7.5554,17.5318,3.0661
7.5590,13.4313,1.7744
7.5600,17.0022,3.1311
7.5609,16.6244,3.1733
7.5650,13.0366,1.5828
7.5651,12.8025,1.5159
7.5658,5.7393,-0.0368
7.5663,17.2180,3.2191
7.5671,8.0772,0.3289
7.5676,11.7389,1.1642
7.5684,16.0445,2.9440
7.5689,9.5865,0.7463
7.5693,15.8185,2.7841
7.5714,17.1999,2.9978
7.5716,15.2256,2.5919
7.5719,17.3357,3.2048
7.5721,11.4306,1.0981
7.5726,17.9061,3.3915
7.5733,17.2806,3.1035
7.5739,12.3627,1.3671
7.5740,13.4033,1.7094
7.5743,16.8169,3.1242
7.5750,9.7295,0.7103
7.5754,17.4569,3.0992
7.5787,7.7152,0.2485
7.5788,15.8527,2.7664
7.5792,16.7143,2.8421
7.5799,17.5334,3.3538
7.5805,14.5650,2.2698
7.5808,17.3268,2.8571
7.5836,15.3680,2.5916
7.5841,16.3783,2.9612
7.5841,17.0885,3.1551
7.5842,13.3028,2.0217
7.5868,16.2008,2.9042
7.5892,14.5648,2.2790
7.5904,17.1847,3.0531
7.5908,17.5866,3.1563
7.5917,16.5583,3.0620
7.5922,15.8415,2.5153
7.5940,15.1231,2.5092
